sign_id,unicode_codepoint,codepoint_decimal,unicode_char,unicode_name,unicode_block,auto_label,png_path,has_manual_annotation,gardiner_code,zh_name,en_name,phonetic_value,meaning_zh,meaning_en,related_terms,text_search_terms,category,annotation_source,processed_png_path,relief_variant,relief_png_path,relief_generation_method,view_name,clip_score,clip_recall_rank,binary_hog_score,edge_hog_score,hu_score,structure_score,clip_norm,binary_hog_norm,edge_hog_norm,hu_norm,structure_norm,final_rerank_score,final_rank,confidence_level
U_132CD,U+132CD,78541,𓋍,EGYPTIAN HIEROGLYPH R026,Egyptian Hieroglyphs,R026,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132CD.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132CD_processed.png,relief_soft_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132CD_relief_soft_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.8485766649246216,1,0.7033019,0.532776,0.02851197272670193,0.04195839539170265,1.0,1.0,0.9476845,0.022058545,0.3008665,0.95458645,1,高
U_131D8,U+131D8,78296,𓇘,EGYPTIAN HIEROGLYPH M027,Egyptian Hieroglyphs,M027,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_131D8.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_131D8_processed.png,relief_soft_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_131D8_relief_soft_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.8417056798934937,2,0.6539192,0.54715014,0.02345085347530072,0.041956063359975815,0.85336643,0.873449,1.0,0.0003497402,0.30067477,0.82379246,2,高
U_131D7,U+131D7,78295,𓇗,EGYPTIAN HIEROGLYPH M026,Egyptian Hieroglyphs,M026,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_131D7.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_131D7_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_131D7_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.8391452431678772,4,0.6159165,0.4761935,0.028480667965191116,0.04062669351696968,0.7987242,0.776061,0.74174935,0.021924265,0.19135536,0.7596341,3,高
U_13036,U+13036,77878,𓀶,EGYPTIAN HIEROGLYPH A045A,Egyptian Hieroglyphs,A045A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13036.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13036_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13036_relief_noise.png,synthetic_stone_relief_v1,cropped_gray,0.8392996788024902,3,0.55861866,0.46490514,0.03940391521826529,0.039899565279483795,0.80201995,0.62922627,0.7006648,0.06877766,0.1315607,0.75219166,4,高
U_13048,U+13048,77896,𓁈,EGYPTIAN HIEROGLYPH A063,Egyptian Hieroglyphs,A063,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13048.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13048_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13048_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.8373114466667175,5,0.5700933,0.4696059,0.023466442909142998,0.042357128113508224,0.75958914,0.65863174,0.71777344,0.00041661228,0.33365592,0.72056526,5,中
U_13429,U+13429,78889,𓐩,EGYPTIAN HIEROGLYPH AA027,Egyptian Hieroglyphs,AA027,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13429.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13429_processed.png,relief_soft_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13429_relief_soft_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.8372858762741089,6,0.36027896,0.30050933,0.02808504028858956,0.03877019137144089,0.75904346,0.1209493,0.102337174,0.020227287,0.038687762,0.657918,6,中
U_132E1,U+132E1,78561,𓋡,EGYPTIAN HIEROGLYPH S014A,Egyptian Hieroglyphs,S014A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132E1.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132E1_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132E1_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.832822322845459,8,0.54603094,0.45433396,0.03948021793411659,0.04081036150455475,0.6637868,0.5969682,0.6621904,0.06910494,0.2064591,0.63272685,7,中
U_130C1,U+130C1,78017,𓃁,EGYPTIAN HIEROGLYPH D059,Egyptian Hieroglyphs,D059,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_130C1.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_130C1_processed.png,relief_soft_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_130C1_relief_soft_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.833486795425415,7,0.46509302,0.40732342,0.028429868452756798,0.039191409945487976,0.6779673,0.38955194,0.49109295,0.021706367,0.07332625,0.6214068,8,中
U_13251,U+13251,78417,𓉑,EGYPTIAN HIEROGLYPH O001A,Egyptian Hieroglyphs,O001A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13251.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13251_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13251_relief_noise.png,synthetic_stone_relief_v1,binary_mask,0.8325744867324829,9,0.51466095,0.4296977,0.03948339404999714,0.04047741740942001,0.65849775,0.51657766,0.5725253,0.069118574,0.17907979,0.6192739,9,中
U_13262,U+13262,78434,𓉢,EGYPTIAN HIEROGLYPH O010A,Egyptian Hieroglyphs,O010A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13262.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13262_processed.png,relief_light_right,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13262_relief_light_right.png,synthetic_stone_relief_v1,query_relief_style,0.831471860408783,10,0.51267666,0.4611625,0.02857874590353897,0.040729835629463196,0.6349666,0.51149255,0.68704325,0.02234495,0.19983715,0.60256,10,中
