sign_id,unicode_codepoint,codepoint_decimal,unicode_char,unicode_name,unicode_block,auto_label,png_path,has_manual_annotation,gardiner_code,zh_name,en_name,phonetic_value,meaning_zh,meaning_en,related_terms,text_search_terms,category,annotation_source,processed_png_path,relief_variant,relief_png_path,relief_generation_method,view_name,dinov2_score,global_rank,confidence_level
U_132C1,U+132C1,78529,𓋁,EGYPTIAN HIEROGLYPH R015,Egyptian Hieroglyphs,R015,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132C1.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132C1_processed.png,relief_light_right,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132C1_relief_light_right.png,synthetic_stone_relief_v1,query_relief_style,0.67917544,1,中
U_130C5,U+130C5,78021,𓃅,EGYPTIAN HIEROGLYPH D063,Egyptian Hieroglyphs,D063,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_130C5.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_130C5_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_130C5_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.67580014,2,中
U_132F9,U+132F9,78585,𓋹,EGYPTIAN HIEROGLYPH S034,Egyptian Hieroglyphs,S034,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_132F9.png,True,S34,生命符号,ankh,,生命符号,ankh,"life,ankh,anh","life,ankh,anh",,manual_seed_from_existing_library,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_132F9_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_132F9_relief_noise.png,synthetic_stone_relief_v1,original,0.6714263,3,中
U_13080,U+13080,77952,𓂀,EGYPTIAN HIEROGLYPH D010,Egyptian Hieroglyphs,D010,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13080.png,True,D10,荷鲁斯之眼,wedjat eye,,荷鲁斯之眼,wedjat eye,"wedjat,horus,eye,protection,healing","wedjat,horus,eye,protection,healing",,manual_seed_from_existing_library,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13080_processed.png,relief_light_left,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13080_relief_light_left.png,synthetic_stone_relief_v1,query_relief_style,0.67127323,4,中
U_13374,U+13374,78708,𓍴,EGYPTIAN HIEROGLYPH V007B,Egyptian Hieroglyphs,V007B,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13374.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13374_processed.png,relief_strong_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13374_relief_strong_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.6621749,5,中
U_1334E,U+1334E,78670,𓍎,EGYPTIAN HIEROGLYPH U025,Egyptian Hieroglyphs,U025,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1334E.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1334E_processed.png,relief_strong_shadow,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1334E_relief_strong_shadow.png,synthetic_stone_relief_v1,query_relief_style,0.66165257,6,中
U_1336D,U+1336D,78701,𓍭,EGYPTIAN HIEROGLYPH V002A,Egyptian Hieroglyphs,V002A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_1336D.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_1336D_processed.png,relief_light_right,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_1336D_relief_light_right.png,synthetic_stone_relief_v1,query_relief_style,0.66119957,7,中
U_131D8,U+131D8,78296,𓇘,EGYPTIAN HIEROGLYPH M027,Egyptian Hieroglyphs,M027,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_131D8.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_131D8_processed.png,relief_noise,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_131D8_relief_noise.png,synthetic_stone_relief_v1,query_relief_style,0.6584033,8,中
U_13232,U+13232,78386,𓈲,EGYPTIAN HIEROGLYPH NL017A,Egyptian Hieroglyphs,NL017A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13232.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13232_processed.png,relief_light_top,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13232_relief_light_top.png,synthetic_stone_relief_v1,query_relief_style,0.6571767,9,中
U_13262,U+13262,78434,𓉢,EGYPTIAN HIEROGLYPH O010A,Egyptian Hieroglyphs,O010A,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png_full\U_13262.png,False,,,,,,,,,,,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed_full\U_13262_processed.png,relief_light_top,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_relief_augmented\U_13262_relief_light_top.png,synthetic_stone_relief_v1,query_relief_style,0.6561315,10,中
