gardiner_code,image_count
N35,539
M17,481
X1,439
D21,357
I9,327
V30,276
D4,238
S29,207
R8,177
N33,177
G43,176
V28,171
M23,171
F35,168
A1,166
D36,163
Q1,157
X8,148
D37,147
O1,142
R4,141
Q3,140
G17,139
Y1,133
V31,133
S34,131
D58,123
Y5,104
O49,102
D28,95
AA15,93
D2,93
D46,92
N1,85
V13,83
M12,79
O34,74
U7,72
F31,71
F1,70
D55,61
A40,54
Z1,54
I10,51
S21,50
H1,50
B1,45
O4,45
G36,43
U6,42
W19,41
D35,40
V1,39
H6,39
D40,37
F39,37
R11,36
W17,36
U1,36
W24,35
E34,35
A2,34
N26,33
N25,33
N14,31
M16,31
R14,30
Y4,29
U23,29
D45,29
Z11,29
S38,28
L1,28
G38,28
S3,27
S40,27
X7,24
W25,24
V6,24
D60,24
D1,24
D54,23
Z4,23
N36,20
F32,20
G40,20
S27,20
W11,20
L2,19
G14,19
T28,18
Z2,18
F4,18
D39,18
M3,18
Z3,17
V20,17
S19,16
F12,16
N8,16
W22,16
W18,16
M2,16
Y2,16
M18,15
E1,15
U33,15
I1,15
V7,15
A30,15
N37,15
V10,15
A42,14
V29,14
O29,14
U15,14
Q2,13
F26,13
A24,12
AA13,12
N42,12
W23,11
W14,11
A50,11
Y3,11
G37,11
M20,11
F21,11
V4,11
A19,10
R7,10
O6,10
O3,10
G5,9
H8,9
S28,9
W15,9
T21,9
M42,9
M22,9
E7,9
N18,8
P3,8
S24,8
E10,8
I15,7
N33B,7
Z1B,7
Z9,7
D52,7
A17,7
F18,7
E16,7
W5,7
N23,7
T22,6
O42,6
G1,6
K4,6
M24,6
N29,6
N27,6
N16,6
D38,6
D41,6
D56,6
I5,5
M37,5
G25,5
W10,5
O50,5
F51,5
M29,4
N19,4
N12,4
E28,4
K1,4
M15,4
I12,4
E19,4
X4,4
A26,4
N7,4
N58,4
G54,4
G41,4
E18,4
T30,4
V2,4
Z7,4
D42,4
V23,3
T18,3
O10,3
N6,3
P1,3
U21,3
U9,3
P6,3
M30,3
AA11,3
AA27,3
A9,3
W16,3
AA5,3
C10,3
U31,3
O48,3
O30,3
S12,3
O39,3
E13,3
D5,3
N41,3
M4,3
N31,3
G30,3
G27,3
W9,3
A28,3
F3,3
E21,3
M13,3
F44,3
A15,2
A4,2
A14,2
W6,2
F24,2
A3,2
F40,2
O7,2
R3,2
D18,2
R9,2
N38,2
N13,2
N28,2
F37,2
F5,2
G47,2
E20,2
F13,2
E8,2
E23,2
X2,2
V38,2
C11,2
V8,2
C2,2
U28,2
T3,2
N40,2
N5,2
O24,2
A6,2
D19,2
D10,2
N11,1
M1,1
M40,1
N15,1
F23,1
F34,1
A16,1
F2,1
F48,1
G20,1
L7,1
M27,1
I3,1
I14,1
H2,1
G9,1
G8,1
G50,1
E29,1
E4,1
N24,1
M6,1
D12,1
O9,1
O5,1
R24,1
O31,1
O47,1
D57,1
O22,1
N39,1
O2,1
D44,1
D51,1
Q7,1
D7,1
A51,1
V16,1
V19,1
V15,1
U40,1
U36,1
V14,1
U29,1
U17,1
U16,1
U19,1
S42,1
AA2,1
A8,1
AA28,1
W1,1
