gardiner_code,image_count
N35,539
M17,481
X1,439
D21,357
I9,327
V30,276
D4,238
S29,207
N33,177
R8,177
G43,176
M23,171
V28,171
F35,168
A1,166
D36,163
Q1,157
X8,148
D37,147
O1,142
R4,141
Q3,140
G17,139
Y1,133
V31,133
S34,131
D58,123
Y5,104
O49,102
D28,95
D2,93
AA15,93
D46,92
N1,85
V13,83
M12,79
O34,74
U7,72
F31,71
F1,70
D55,61
Z1,54
A40,54
I10,51
S21,50
H1,50
O4,45
B1,45
G36,43
U6,42
W19,41
D35,40
V1,39
H6,39
F39,37
D40,37
W17,36
R11,36
U1,36
W24,35
E34,35
A2,34
N26,33
N25,33
M16,31
N14,31
R14,30
U23,29
D45,29
Z11,29
Y4,29
G38,28
L1,28
S38,28
S3,27
S40,27
W25,24
V6,24
D60,24
D1,24
X7,24
D54,23
Z4,23
F32,20
N36,20
G40,20
S27,20
W11,20
