split,gardiner_code,image_count
test,A1,25
test,A2,6
test,A40,9
test,AA15,14
test,B1,7
test,D1,4
test,D2,14
test,D21,54
test,D28,15
test,D35,6
test,D36,25
test,D37,23
test,D4,36
test,D40,6
test,D45,5
test,D46,14
test,D54,4
test,D55,10
test,D58,19
test,D60,4
test,E34,6
test,F1,11
test,F31,11
test,F32,3
test,F35,26
test,F39,6
test,G17,21
test,G36,7
test,G38,5
test,G40,3
test,G43,27
test,H1,8
test,H6,6
test,I10,8
test,I9,50
test,L1,5
test,M12,12
test,M16,5
test,M17,73
test,M23,26
test,N1,13
test,N14,5
test,N25,5
test,N26,5
test,N33,27
test,N35,81
test,N36,3
test,O1,22
test,O34,12
test,O4,7
test,O49,16
test,Q1,24
test,Q3,21
test,R11,6
test,R14,5
test,R4,22
test,R8,27
test,S21,8
test,S27,3
test,S29,32
test,S3,5
test,S34,20
test,S38,5
test,S40,5
test,U1,6
test,U23,5
test,U6,7
test,U7,11
test,V1,6
test,V13,13
test,V28,26
test,V30,42
test,V31,20
test,V6,4
test,W11,3
test,W17,6
test,W19,7
test,W24,6
test,W25,4
test,X1,66
test,X7,4
test,X8,23
test,Y1,20
test,Y4,5
test,Y5,16
test,Z1,9
test,Z11,5
test,Z4,4
train,A1,116
train,A2,23
train,A40,37
train,AA15,65
train,B1,31
train,D1,16
train,D2,65
train,D21,249
train,D28,66
train,D35,28
train,D36,114
train,D37,102
train,D4,166
train,D40,25
train,D45,20
train,D46,64
train,D54,16
train,D55,42
train,D58,86
train,D60,16
train,E34,24
train,F1,49
train,F31,49
train,F32,14
train,F35,117
train,F39,25
train,G17,97
train,G36,30
train,G38,19
train,G40,14
train,G43,123
train,H1,35
train,H6,27
train,I10,35
train,I9,228
train,L1,19
train,M12,55
train,M16,21
train,M17,336
train,M23,119
train,N1,59
train,N14,21
train,N25,23
train,N26,23
train,N33,123
train,N35,377
train,N36,14
train,O1,99
train,O34,51
train,O4,31
train,O49,71
train,Q1,109
train,Q3,98
train,R11,25
train,R14,21
train,R4,98
train,R8,123
train,S21,35
train,S27,14
train,S29,144
train,S3,18
train,S34,91
train,S38,19
train,S40,18
train,U1,25
train,U23,20
train,U6,29
train,U7,50
train,V1,27
train,V13,58
train,V28,119
train,V30,193
train,V31,93
train,V6,16
train,W11,14
train,W17,25
train,W19,28
train,W24,24
train,W25,16
train,X1,307
train,X7,16
train,X8,103
train,Y1,93
train,Y4,20
train,Y5,72
train,Z1,37
train,Z11,20
train,Z4,16
val,A1,25
val,A2,5
val,A40,8
val,AA15,14
val,B1,7
val,D1,4
val,D2,14
val,D21,54
val,D28,14
val,D35,6
val,D36,24
val,D37,22
val,D4,36
val,D40,6
val,D45,4
val,D46,14
val,D54,3
val,D55,9
val,D58,18
val,D60,4
val,E34,5
val,F1,10
val,F31,11
val,F32,3
val,F35,25
val,F39,6
val,G17,21
val,G36,6
val,G38,4
val,G40,3
val,G43,26
val,H1,7
val,H6,6
val,I10,8
val,I9,49
val,L1,4
val,M12,12
val,M16,5
val,M17,72
val,M23,26
val,N1,13
val,N14,5
val,N25,5
val,N26,5
val,N33,27
val,N35,81
val,N36,3
val,O1,21
val,O34,11
val,O4,7
val,O49,15
val,Q1,24
val,Q3,21
val,R11,5
val,R14,4
val,R4,21
val,R8,27
val,S21,7
val,S27,3
val,S29,31
val,S3,4
val,S34,20
val,S38,4
val,S40,4
val,U1,5
val,U23,4
val,U6,6
val,U7,11
val,V1,6
val,V13,12
val,V28,26
val,V30,41
val,V31,20
val,V6,4
val,W11,3
val,W17,5
val,W19,6
val,W24,5
val,W25,4
val,X1,66
val,X7,4
val,X8,22
val,Y1,20
val,Y4,4
val,Y5,16
val,Z1,8
val,Z11,4
val,Z4,3
