gardiner_code,test_count,top1_accuracy,top3_accuracy,top5_accuracy,top1_error_count,avg_top1_prob
F32,3,0.3333333333333333,1.0,1.0,2,0.47988225022951764
G40,3,0.3333333333333333,0.6666666666666666,0.6666666666666666,2,0.5231662342945734
S21,8,0.5,1.0,1.0,4,0.9160494729876518
D40,6,0.5,1.0,1.0,3,0.6292571524779002
D1,4,0.5,1.0,1.0,2,0.5822710990905762
X7,4,0.5,0.75,0.75,2,0.5533360876142979
G38,5,0.6,0.8,1.0,2,0.5636621952056885
R14,5,0.6,1.0,1.0,2,0.7911827087402343
S40,5,0.6,1.0,1.0,2,0.8529667496681214
U23,5,0.6,1.0,1.0,2,0.7081461757421493
Z1,9,0.6666666666666666,1.0,1.0,3,0.735639831258191
H6,6,0.6666666666666666,1.0,1.0,2,0.8926302840312322
B1,7,0.7142857142857143,1.0,1.0,2,0.809275141784123
G36,7,0.7142857142857143,1.0,1.0,2,0.8181019872426987
U6,7,0.7142857142857143,1.0,1.0,2,0.8215451070240566
D54,4,0.75,0.75,0.75,1,0.9314530938863754
D46,14,0.7857142857142857,0.9285714285714286,1.0,3,0.9325945207050869
D45,5,0.8,1.0,1.0,1,0.5897380292415619
N25,5,0.8,0.8,0.8,1,0.8864817023277283
O34,12,0.8333333333333334,1.0,1.0,2,0.878982812166214
A2,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,0.6857078845302264
R11,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,1,0.8835355192422867
D36,25,0.84,1.0,1.0,4,0.8961520624160767
V13,13,0.8461538461538461,1.0,1.0,2,0.9346002202767593
D2,14,0.8571428571428571,0.9285714285714286,1.0,2,0.8526965699025563
O49,16,0.875,0.9375,1.0,2,0.886351315304637
D4,36,0.8888888888888888,1.0,1.0,4,0.975991095105807
N33,27,0.8888888888888888,1.0,1.0,3,0.9036912851863437
D55,10,0.9,1.0,1.0,1,0.8715769469738006
G17,21,0.9047619047619048,1.0,1.0,2,0.8716503211430141
R4,22,0.9090909090909091,1.0,1.0,2,0.9043053483421152
F1,11,0.9090909090909091,1.0,1.0,1,0.649958385662599
U7,11,0.9090909090909091,1.0,1.0,1,0.9271102981133894
Q1,24,0.9166666666666666,0.9583333333333334,0.9583333333333334,2,0.9393724910914898
M23,26,0.9230769230769231,1.0,1.0,2,0.9592171494777386
V30,42,0.9285714285714286,1.0,1.0,3,0.9381933850901467
AA15,14,0.9285714285714286,1.0,1.0,1,0.8865031174251011
D28,15,0.9333333333333333,1.0,1.0,1,0.9171481470266978
Y5,16,0.9375,1.0,1.0,1,0.9450261667370796
V31,20,0.95,1.0,1.0,1,0.9459383293986321
Y1,20,0.95,1.0,1.0,1,0.9525227099657059
Q3,21,0.9523809523809523,1.0,1.0,1,0.9736983974774679
D37,23,0.9565217391304348,1.0,1.0,1,0.9564065155775651
A1,25,0.96,0.96,1.0,1,0.9564308631420135
R8,27,0.9629629629629629,0.9629629629629629,1.0,1,0.9544781926605437
S29,32,0.96875,1.0,1.0,1,0.9655414689332247
I9,50,0.98,1.0,1.0,1,0.9576758569478989
D21,54,0.9814814814814815,1.0,1.0,1,0.9866642576676828
N35,81,0.9876543209876543,1.0,1.0,1,0.9830855469644806
M17,73,1.0,1.0,1.0,0,0.9814766441306023
X1,66,1.0,1.0,1.0,0,0.9879072543346521
G43,27,1.0,1.0,1.0,0,0.9702451935520878
F35,26,1.0,1.0,1.0,0,0.991218394958056
V28,26,1.0,1.0,1.0,0,0.9856165945529938
X8,23,1.0,1.0,1.0,0,0.9756253569022469
O1,22,1.0,1.0,1.0,0,0.9912823194807227
S34,20,1.0,1.0,1.0,0,0.9790548592805862
D58,19,1.0,1.0,1.0,0,0.9815006507070441
N1,13,1.0,1.0,1.0,0,0.9470366056148822
M12,12,1.0,1.0,1.0,0,0.9747171352307001
F31,11,1.0,1.0,1.0,0,0.9792179085991599
A40,9,1.0,1.0,1.0,0,0.9305156932936774
H1,8,1.0,1.0,1.0,0,0.9118343740701675
I10,8,1.0,1.0,1.0,0,0.9808309897780418
O4,7,1.0,1.0,1.0,0,0.9617000222206116
W19,7,1.0,1.0,1.0,0,0.922405081135886
D35,6,1.0,1.0,1.0,0,0.9228935241699219
E34,6,1.0,1.0,1.0,0,0.9556022981802622
F39,6,1.0,1.0,1.0,0,0.8374146372079849
U1,6,1.0,1.0,1.0,0,0.9853779971599579
V1,6,1.0,1.0,1.0,0,0.9395792980988821
W17,6,1.0,1.0,1.0,0,0.9655352433522543
W24,6,1.0,1.0,1.0,0,0.9768388072649637
L1,5,1.0,1.0,1.0,0,0.8776418447494507
M16,5,1.0,1.0,1.0,0,0.9971331119537353
N14,5,1.0,1.0,1.0,0,0.9927175283432007
N26,5,1.0,1.0,1.0,0,0.887268602848053
S3,5,1.0,1.0,1.0,0,0.793731939792633
S38,5,1.0,1.0,1.0,0,0.7612900376319885
Y4,5,1.0,1.0,1.0,0,0.9383788347244263
Z11,5,1.0,1.0,1.0,0,0.9488410711288452
D60,4,1.0,1.0,1.0,0,0.9563574641942978
V6,4,1.0,1.0,1.0,0,0.9872687757015228
W25,4,1.0,1.0,1.0,0,0.8933743983507156
Z4,4,1.0,1.0,1.0,0,0.7162005379796028
N36,3,1.0,1.0,1.0,0,0.9036315282185873
S27,3,1.0,1.0,1.0,0,0.7773464818795522
W11,3,1.0,1.0,1.0,0,0.7894722620646158
